Cod	Grupo	Produto
1202	8	MATERIAL PARA INSTALACAO ELETRICA
1203	8	FIO PARA INSTALACAO ELETRICA
1301	8	MAO-DE-OBRA | PEDREIRO, MARCENEIRO, ELETRICISTA, PINTOR, ETC.
1302	8	PEDREIRO
1303	8	MARCENEIRO
1304	8	ELETRICISTA
1305	8	PINTOR
1306	8	MAO DE OBRA | PEDREIRO, MARCENEIRO, ELETRICISTA, PINTOR, ETC.
1307	8	LIMPEZA DE FOSSA
1401	8	DEDETIZACAO, DESRATIZACAO, DESINSETIZACAO, ETC.
1402	8	DESRATIZACAO
1403	8	EXTERMINIO DE INSETOS
1404	8	DESINSETIZACAO
1501	8	VITRIFICACAO | SINTECO, POLIURETANO, ETC.
1502	8	SINTECO
1503	8	POLIURETANO
1601	8	REFORMA OU OBRA POR EMPREITADA
1602	8	CONSTRUCAO POR EMPREITADA
1603	8	EMPREITEIRO
1604	8	EMPREITADA
1605	8	OBRA POR EMPREITADA
1606	8	TERRAPLANAGEM | EMPREITADA
1607	8	SERVICO DE TERRAPLANAGEM | EMPREITADA
1701	8	LICENCA PARA OBRA, PLANTA E DESEMBARACO DE DOCUMENTACAO
1702	8	PLANTA PARA OBRA
1703	8	DESEMBARACO DE DOCUMENTACAO PARA OBRA
1704	8	LICENCA PARA OBRA
1801	8	ARTIGOS DE JARDINAGEM | PLANTA, TERRA, SEMENTE, XAXIM, ETC.
1802	8	PLANTAS NATURAIS
1803	8	TERRA VEGETAL
1804	8	SEMENTES
1805	8	XAXIM
1806	8	VASO PARA PLANTA
1807	8	SUPORTE DE VASO
1808	8	MUDAS
1809	8	PINHEIRO | MUDA
1810	8	ARTIGOS DE JARDINAGEM | PLANTAS, TERRA, SEMENTES, XAXIM, ETC.
1901	8	ALUGUEL DE CARRETO PARA MATERIAL DE CONSTRUCAO
1902	8	FRETE DE MATERIAL DE CONSTRUCAO
1903	8	ALUGUEL DE CACAMBA PARA RETIRAR ENTULHOS
1904	8	RETIRADA DE ENTULHO
1905	8	CARRETO DE MATERIAL DE CONSTRUCAO
1906	8	ALUGUEL DE MATERIAL DE CONSTRUCAO
2001	8	CAIXA DE CORREIO
2002	8	CAIXA DE CORRESPONDENCIA
2101	8	LAJE PRE-MOLDADA
2102	8	LAGE PRE-MOLDADA
2201	8	AREIA, TERRA, BARRO, SAIBRO, ETC.
2202	8	ARENOSO
2203	8	BARRO
2204	8	SAIBRO
2205	8	CAULIM
2206	8	TERRA
2207	8	ATERRO
2208	8	CASCALHO
2209	8	AREIA, TERRA, BARRO, SAIBRO, ETC.
2301	8	PEDRAS | BRITADA, MARROADA, PARALELEPIPEDO, ETC.
2302	8	PEDRA BRITADA
2303	8	BRITA
2304	8	PO DE PEDRA
2305	8	PEDRA MARROADA
2306	8	PEDRA DE ALICERCE
2307	8	PEDRAS | BRITADA, MARROADA, PARALELEPIPEDO, ETC.
2401	8	PORTAO
2402	8	PORTAO DE FERRO
2403	8	PORTAO ELETRONICO
2501	8	INPS DE OBRA
2601	8	BASCULANTE
2701	8	COLA | EXCETO DUREPOX
2702	8	COLA DE MADEIRA
2703	8	COLA SUPER BOND
2704	8	SUPER BOND
2705	8	COLA DE SAPATEIRO
2801	8	ARGAMASSA
2802	8	REJUNTE
2901	8	TELHAS | BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.
2902	8	TELHAS | BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.
3001	8	SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL
3002	8	PARAPEITO DE JANELA DE QUALQUER MATERIAL
3101	8	PEDRA MARMORE PARA PIA
3102	8	MARMORE | PEDRAPARA PIA
3103	8	BALCAO DE MARMORE PARA PIA
3104	8	BALCAO DE PIA
3105	8	BALCAO DE COZINHA
3106	8	GRANITO | PEDRAPARA PIA
3107	8	BALCAO DE GRANITO PARA PIA
3108	8	BALCAO
3109	8	PIA DE COZINHA
3201	8	CAIXA DE AGUA DE QUALQUER MATERIAL
3202	8	TAMPA DE CAIXA DE AGUA
3203	8	CAIXA DE AGUA
3301	8	GRADE DE FERRO
3401	8	BLOCO DE CIMENTO
3402	8	BLOCKET | BLOCO DE CIMENTO
3501	8	BOX DE BANHEIRO DE QUALQUER MATERIAL
3601	8	TANQUE DE QUALQUER MATERIAL
3701	8	PORTAL
3801	8	CAIXA DE LUZ | PADRAO
3901	8	CAIXA DE DESCARGA
4001	8	GESSO
4101	8	ESPELHO DE BANHEIRO
4201	8	MANILHA
4301	8	PLACA, ANEL, VIGA, PALANQUE, ETC. DE CIMENTO OU CONCRETO
4302	8	ANEL DE CIMENTO OU CONCRETO
4303	8	VIGA DE CIMENTO OU CONCRETO
4304	8	PALANQUE DE CIMENTO OU CONCRETO
4305	8	PLACA DE CIMENTO OU CONCRETO
4401	8	CAIXA DE REGISTRO DE AGUA
4501	8	MATERIAL PLASTICO PARA COBERTURA
4502	8	TOLDO PLASTICO
4503	8	PLASTICO | MATERIAL PARA COBERTURA
4504	8	TOLDO DE LONA
4601	8	DUREPOX
4602	8	EPOX | COLA
4701	8	CUBA PARA PIA | QUALQUER MATERIAL
4702	8	PIA | CUBADE QUALQUER MATERIAL
4801	8	CALHA
4901	8	ESQUADRIA
5001	8	FORMICA | FOLHA
5002	8	FOLHA DE FORMICA
5101	8	POSTE | CIMENTO
5201	8	CUPINICIDA
5202	8	VENENO CONTRA CUPIM | CUPINICIDA
5301	8	PRODUTOS PARA PISCINA
5302	8	CLORO PARA PISCINA
5303	8	SULFATO DE ALUMINIO PARA PISCINA
5501	8	ESCADA CARACOL
5601	8	IMPERMEABILIZANTE
5602	8	MASSA DE VEDACAO DE TELHA
5701	8	PALHA PARA COBERTURA
5702	8	SAPE PARA COBERTURA
5901	8	MASSA DE FIXACAO E VEDACAO DE VIDRO
6101	8	BANDEIRA DE JANELA
6201	8	CONCRETO USINADO
6401	8	TETO SOLAR
6701	8	FIXOTAC
6901	8	LATA VAZIA | USADA EM CONSTRUCAO
7001	8	RUFO DE TELHADO
7002	8	RUFO PARA TELHADO
7101	8	OXIDO DE FERRO | PARA PISO DE CERAMICA
7301	8	LIXEIRA METALICA
8001	8	MANUTENCAO DE JAZIGO
8101	8	EXUMACAO
8201	8	PLACA DE JAZIGO
8301	8	CONDOMINIO DE JAZIGO
8302	8	TAXA DE CONDOMINIO DE JAZIGO
8401	8	FORRO PARA COBERTURA | INDETERMINADO
8402	8	FORRO DE GESSO
8403	8	FORRO DE MADEIRA
8404	8	FORRO DE PVC
8501	8	BOIA DE CAIXA DE AGUA
9801	8	AGREGADO
101	9	CONSERTO DE MOVEIS
102	9	REFORMA DE MOVEIS
201	9	MANUTENCAO DE MOVEIS
301	9	CONSERTO DE ASPIRADOR DE PO | PECA+MAO-DE-OBRA
601	9	MANUTENCAO DE APARELHOS DOMESTICOS
602	9	MANUTENCAO DE MOTO-BOMBA | POCO ARTESIANO
701	9	CONSERTO DE MOTO-BOMBA | PECA+MAO-DE-OBRA
801	9	CONSERTO DE FERRO ELETRICO | PECA+MAO-DE-OBRA
901	9	MANUTENCAO DE UTENSILIOS DOMESTICOS
902	9	MANUTENCAO DE CAIXA DE AGUA
903	9	LIMPEZA DE CAIXA DE AGUA | MANUTENCAO
904	9	LIMPEZA DE FOSSA
905	9	LIMPEZA DE CARPETE
906	9	MANUTENCAO DE UTENSILIOS DOMESTICOS NAO ELETRICOS
907	9	MANUTENCAO DE UTENSILIOS DOMESTICO
1001	9	CONSERTO DE FERRO ELETRICO | PECA
1002	9	CONSERTO DE FERRO ELETRICO | MAO-DE-OBRA
1201	9	CONSERTO DE UTENSILIOS DOMESTICOS | EXCETO ELETRICOS
1202	9	CONSERTO DE ANTENA PARABOLICA
1203	9	CONSERTO DE TELEFONE
1204	9	CONSERTO DE TOLDO
1205	9	CONSERTO DE PERSIANA
1206	9	CONSERTO DE RECEPTOR DE ANTENA PARABOLICA
1501	9	MONTAGEM DE MOVEIS
2001	9	CONSERTO DE GELADEIRA OU FREEZER | PECA
2101	9	CONSERTO DE GELADEIRA OU FREEZER | MAO-DE-OBRA
2102	9	CONSERTO DE GELADEIRA OU FREEZER | MAO DE OBRA
2201	9	CONSERTO DE GELADEIRA OU FREEZER | PECA+MAO-DE-OBRA
2202	9	CONSERTO DE GELADEIRA OU FREEZER | PECA+MAO DE OBRA
2301	9	CONSERTO DE TELEVISAO | PECA
2302	9	CONSERTO DE TELAO | PECA
2401	9	CONSERTO DE TELEVISAO | MAO-DE-OBRA
2402	9	CONSERTO DE TELAO | MAO-DE-OBRA
2403	9	CONSERTO DE TELEVISAO | MAO DE OBRA
2501	9	CONSERTO DE TELEVISAO | PECA+MAO-DE-OBRA
2502	9	CONSERTO DE TELAO | PECA+MAO-DE-OBRA
2503	9	CONSERTO DE TELEVISAO | PECA+MAO DE OBRA
2601	9	CONSERTO DE APARELHO SONORO | PECA
2602	9	CONSERTO DE RADIO | PECA
2603	9	CONSERTO DE RADIO-RELOGIO | PECA
2701	9	CONSERTO DE APARELHO SONORO | MAO-DE-OBRA
2702	9	CONSERTO DE RADIO | MAO-DE-OBRA
2703	9	CONSERTO DE RADIO-RELOGIO | MAO-DE-OBRA
2704	9	CONSERTO DE APARELHO SONORO | MAO DE OBRA
2801	9	CONSERTO DE APARELHO SONORO | PECA+MAO-DE-OBRA
2802	9	CONSERTO DE RADIO | PECA+MAO-DE-OBRA
2803	9	CONSERTO DE RADIO-RELOGIO | PECA+MAO-DE-OBRA
2804	9	CONSERTO DE APARELHO SONORO | PECA+MAO DE OBRA
2901	9	CONSERTO DE VIDEOCASSETE | PECA
3001	9	CONSERTO DE VIDEOCASSETE | MAO-DE-OBRA
3101	9	CONSERTO DE VIDEOCASSETE | PECA+MAO-DE-OBRA
3201	9	CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA | PECA
3202	9	CONSERTO DE MAQUINA DE LAVAR ROUPA | PECA
3203	9	CONSERTO DE MAQUINA DE SECAR ROUPA | PECA
3301	9	CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA | MAO-DE-OBRA
3302	9	CONSERTO DE MAQUINA DE LAVAR ROUPA | MAO-DE-OBRA
3303	9	CONSERTO DE MAQUINA DE SECAR ROUPA | MAO-DE-OBRA
3401	9	CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA | PECA+MAO-DE-OBRA
3402	9	CONSERTO DE MAQUINA DE LAVAR ROUPA | PECA+MAO-DE-OBRA
3403	9	CONSERTO DE MAQUINA DE SECAR ROUPA | PECA+MAO-DE-OBRA
3501	9	CONSERTO DE FOGAO | PECA
3601	9	CONSERTO DE FOGAO | MAO-DE-OBRA
3701	9	CONSERTO DE FOGAO | PECA+MAO-DE-OBRA
3801	9	CONSERTO DE AR CONDICIONADO | PECA
3901	9	CONSERTO DE AR CONDICIONADO | MAO-DE-OBRA
4001	9	CONSERTO DE AR CONDICIONADO | PECA+MAO-DE-OBRA
4101	9	CONSERTO DE PORTAO ELETRONICO | PECA
4201	9	CONSERTO DE PORTAO ELETRONICO | MAO-DE-OBRA
4301	9	CONSERTO DE PORTAO ELETRONICO | PECA+MAO-DE-OBRA
4401	9	CONSERTO DE FURADEIRA ELETRICA | PECA
4501	9	CONSERTO DE FURADEIRA ELETRICA | MAO-DE-OBRA
4601	9	CONSERTO DE FURADEIRA ELETRICA | PECA+MAO-DE-OBRA
4701	9	CONSERTO DE AQUECEDOR | PECA+MAO-DE-OBRA
4801	9	CONSERTO DE ORGAO ELETRONICO | PECA+MAO-DE-OBRA
4901	9	CONSERTO DE SECRETARIA ELETRONICA | PECA+MAO-DE-OBRA
5001	9	CONSERTO DE MAQUINA DE COSTURA OU OVERLOCK | PECA
5101	9	CONSERTO DE MAQUINA DE COSTURA OU OVERLOCK | MAO-DE-OBRA
5201	9	CONSERTO DE MAQUINA DE COSTURA OU OVERLOCK | PECA+MAO-DE-OBRA
5301	9	CONSERTO DE BATEDEIRA DE BOLO,MULTIPROCESSADOR E LIQUIDIFICADOR | PECA
5302	9	CONSERTO DE LIQUIDIFICADOR | PECA
5303	9	CONSERTO DE MULTIPROCESSADOR | PECA
5401	9	CONSERTO DE BATEDEIRA DE BOLO,MULTIPROCESSADOR E LIQUIDIFICADOR | MAO-DE-OBRA
5402	9	CONSERTO DE LIQUIDIFICADOR | MAO-DE-OBRA
5403	9	CONSERTO DE MULTIPROCESSADOR | MAO-DE-OBRA
5501	9	CONSERTO DE BATEDEIRA DE BOLO,MULTIPROCESSADOR E LIQUIDIFICADOR | PECA+MAO-DE-OBRA
5502	9	CONSERTO DE LIQUIDIFICADOR | PECA+MAO-DE-OBRA
5503	9	CONSERTO DE MULTIPROCESSADOR | PECA+MAO-DE-OBRA
5601	9	CONSERTO DE FORNO ELETRICO | PECA+MAO-DE-OBRA
5701	9	CONSERTO DE FILMADORA | PECA+MAO-DE-OBRA
5801	9	CONSERTO DE MAQUINA DE LAVAR LOUCAS | MAO-DE-OBRA
5901	9	CONSERTO DE RELOGIO DE MESA OU DE PAREDE | PECA+MAO-DE-OBRA
6001	9	CONSERTO DE VENTILADOR | PECA+MAO-DE-OBRA
6002	9	CONSERTO DE VENTILADOR | PECA
6101	9	CONSERTO DE OZONIZADOR E TORNEIRA ELETRICA | PECA+MAO-DE-OBRA
6102	9	CONSERTO DE TORNEIRA ELETRICA | PECA+MAO-DE-OBRA
6201	9	CONSERTO DE MAQUINA DE LAVAR LOUCAS | PECA
6301	9	CONSERTO DE MAQUINA DE LAVAR LOUCAS | PECA+MAO-DE-OBRA
6401	9	CONSERTO DE FILMADORA | PECA
6501	9	CONSERTO DE FILMADORA | MAO-DE-OBRA
6601	9	CONSERTO DE ENCERADEIRA | PECA
6701	9	CONSERTO DE ENCERADEIRA | MAO-DE-OBRA
6801	9	CONSERTO DE ENCERADEIRA | PECA+MAO-DE-OBRA
6901	9	CONSERTO DE MICROCOMPUTADOR | PECA
7001	9	CONSERTO DE MICROCOMPUTADOR | MAO-DE-OBRA
7101	9	CONSERTO DE MICROCOMPUTADOR | PECA+MAO-DE-OBRA
7201	9	CONSERTO DE CHUVEIRO ELETRICO | PECA
7301	9	CONSERTO DE CHUVEIRO ELETRICO | MAO-DE-OBRA
7401	9	CONSERTO DE CHUVEIRO ELETRICO | PECA+MAO-DE-OBRA
7501	9	CONSERTO DE SECADOR DE CABELOS | PECA
7601	9	CONSERTO DE SECADOR DE CABELOS | MAO-DE-OBRA
7701	9	CONSERTO DE SECADOR DE CABELOS | PECA+MAO-DE-OBRA
7801	9	CONSERTO DE MAQUINA DE COSTURA | PECA+MAO-DE-OBRA
7901	9	CONSERTO DE MICROONDAS | PECA+MAO-DE-OBRA
8001	9	CONSERTO DE VIDEOGAME | PECA+MAO-DE-OBRA
8101	9	CONSERTO DE CENTRIFUGA | PECA+MAO-DE-OBRA
8201	9	CONSERTO DE IMPRESSORA | PECA + MAO-DE-OBRA
8202	9	CONSERTO DE IMPRESSORA | PECA
8301	9	CONSERTO DE CONTROLE REMOTO
8401	9	CONSERTO DE FAX | PECA+MAO-DE-OBRA
8501	9	CONSERTO DE DVD | PECA+MAO-DE-OBRA
8601	9	REFORMA DE INSTRUMENTO MUSICAL | PECA+MAO-DE-OBRA
9801	9	AGREGADO
501	10	ALUGUEL DO IMOVEL | DOMICILIO PRINCIPAL
502	10	ALUGUEL DO IMOVEL
701	10	PRESTACAO DO IMOVEL | DOMICILIO PRINCIPAL
702	10	PRESTACAO DO IMOVEL
1001	10	ALUGUEL DE GARAGEM | DOMICILIO PRINCIPAL
1002	10	ALUGUEL DE GARAGEM
1201	10	CONDOMINIO | DOMICILIO PRINCIPAL
1202	10	CONDOMINIO
1401	10	IMPOSTO PREDIAL | DOMICILIO PRINCIPAL
1402	10	IPTU
1403	10	IMPOSTO PREDIAL
1601	10	ADICIONAIS DO ALUGUEL DO IMOVEL | JUROS, MULTA, ETC. | DOMICILIO PRINCIPAL
1602	10	JUROS DO ALUGUEL DO IMOVEL | DOMICILIO PRINCIPAL
1603	10	MULTA DO ALUGUEL DO IMOVEL | DOMICILIO PRINCIPAL
1604	10	ADICIONAL ALUGUEL IMOVEL | JUROS, MULTA, ETC.
1701	10	ADICIONAIS DE PRESTACAO DO IMOVEL | JUROS, MULTA, ETC. | DOMICILIO PRINCIPAL
1702	10	JUROS DE PRESTACAO DO IMOVEL | DOMICILIO PRINCIPAL
1703	10	MULTA DE PRESTACAO DO IMOVEL | DOMICILIO PRINCIPAL
1801	10	ADICIONAIS DE ALUGUEL DE GARAGEM | JUROS, MULTA, ETC. | DOMICILIO PRINCIPAL
1802	10	JUROS DE ALUGUEL DE GARAGEM | DOMICILIO PRINCIPAL
1803	10	MULTA DE ALUGUEL DE GARAGEM | DOMICILIO PRINCIPAL
1901	10	ADICIONAIS DE CONDOMINIO | JUROS, MULTA, ETC. | DOMICILIO PRINCIPAL
1902	10	JUROS DE CONDOMINIO | DOMICILIO PRINCIPAL
1903	10	MULTA DE CONDOMINIO | DOMICILIO PRINCIPAL
2001	10	ADICIONAIS DE IMPOSTO PREDIAL | JUROS, MULTA, ETC. | DOMICILIO PRINCIPAL
2002	10	JUROS DE IMPOSTO PREDIAL | DOMICILIO PRINCIPAL
2003	10	MULTA DE IMPOSTO PREDIAL | DOMICILIO PRINCIPAL
2201	10	IMPOSTO TERRITORIAL RURAL
2301	10	SPU | SERVICO DE PATRIMONIO DA UNIAO
2302	10	SERVICO DE PATRIMONIO DA UNIAO | SPU
2401	10	INCRA
9001	10	ALUGUEL ESTIMADO | PARA IMOVEIS PROPRIO, CEDIDO E OUTROS
9002	10	ALUGUEL ESTIMADO | IMOVEIS PROPRIOS, CEDIDO E OUTROS
101	11	AZULEJO E PISO
102	11	PISO
103	11	RODAPE | EXCETO DE MADEIRA
201	11	APARELHOS SANITARIOS | PIA, VASO, BIDE, BANHEIRA, ETC.
202	11	BIDE
203	11	CONJUNTO SANITARIO
204	11	VASO SANITARIO
205	11	BANHEIRA
206	11	PECA PARA SUPORTE DE PAPEL HIGIENICO
207	11	SABONETEIRA | EXCETO DE PLASTICO
208	11	PIA
209	11	APARELHOS SANITARIOS | PIA, VASO, BIDE, BANHEIRA, ETC.
301	11	JANELA E PORTA
302	11	PORTA
401	11	MADEIRA E TACO
402	11	TACO
403	11	CAIBRO
404	11	RIPA
405	11	SARRAFO
501	11	CIMENTO
502	11	CIMENTO BRANCO
503	11	CIMENTCOLA OU CIMENTOCOLA
601	11	TIJOLO
602	11	BLOCO DE CERAMICA
701	11	VIDRO
801	11	TINTA
802	11	VERNIZ
901	11	MATERIAL DE PINTURA EM GERAL
902	11	MASSA CORRIDA PARA PAREDE
903	11	CAL
904	11	CAL VIRGEM
905	11	ROLO DE PINTURA
906	11	LIXA DE MADEIRA
1001	11	TORNEIRA, CANO E MATERIAL HIDRAULICO EM GERAL
1002	11	CANO
1003	11	MATERIAL HIDRAULICO
1004	11	TORNEIRA, CANO E MATERIAL HIDRAULICO EM GERAL
1101	11	FERRAGENS | FECHADURA, FERRO, ARAME, PREGO, ETC.
1102	11	FECHADURA
1103	11	FERRO
1104	11	ARAME
1105	11	PREGO
1106	11	CADEADO
1107	11	RALO DE ESGOTAMENTO DE AGUA
1108	11	TELA DE ARAME
1109	11	TRILHO METALICO
1110	11	ROLAMENTO PARA PORTA
1111	11	FERRAGENS | FECHADURA, FERRO, ARAME, PREGO, ETC.
1201	11	FIO E MATERIAL ELETRICO EM GERAL
1202	11	MATERIAL PARA INSTALACAO ELETRICA
1203	11	FIO PARA INSTALACAO ELETRICA
1204	11	FIOS E MATERIAL ELETRICO EM GERAL
1301	11	MAO-DE-OBRA | PEDREIRO, MARCENEIRO, ELETRICISTA, PINTOR, ETC.
1302	11	PEDREIRO
1303	11	MARCENEIRO
1304	11	ELETRICISTA
1305	11	PINTOR
1306	11	MAO DE OBRA | PEDREIRO, MARCENEIRO, ELETRICISTA, PINTOR, ETC.
1401	11	DEDETIZACAO, DESRATIZACAO, DESINSETIZACAO, ETC.
1402	11	DESRATIZACAO
1403	11	EXTERMINIO DE INSETOS
1404	11	DESINSETIZACAO
1501	11	VITRIFICACAO | SINTECO, POLIURETANO, ETC.
1502	11	SINTECO
1503	11	POLIURETANO
1601	11	REFORMA OU OBRA POR EMPREITADA
1602	11	CONSTRUCAO POR EMPREITADA
1603	11	EMPREITEIRO
1604	11	EMPREITADA
1605	11	OBRA POR EMPREITADA
1606	11	TERRAPLANAGEM | EMPREITADA
1607	11	SERVICO DE TERRAPLANAGEM | EMPREITADA
1608	11	REFORMAS OU OBRAS POR EMPREITADA
1701	11	LICENCA PARA OBRA, PLANTA E DESEMBARACO DE DOCUMENTACAO
1702	11	PLANTA PARA OBRA
1703	11	DESEMBARACO DE DOCUMENTACAO PARA OBRA
1704	11	LICENCA PARA OBRA
1901	11	ALUGUEL DE CARRETO PARA MATERIAL DE CONSTRUCAO
1902	11	FRETE DE MATERIAL DE CONSTRUCAO
1903	11	ALUGUEL DE CACAMBA PARA RETIRAR ENTULHOS
1904	11	RETIRADA DE ENTULHO
1905	11	CARRETO DE MATERIAL DE CONSTRUCAO
2001	11	CAIXA DE CORREIO
2002	11	CAIXA DE CORRESPONDENCIA
2101	11	LAJE PRE-MOLDADA
2102	11	LAGE PRE-MOLDADA
2201	11	AREIA, TERRA, BARRO, SAIBRO, ETC.
2202	11	ARENOSO
2203	11	BARRO
2204	11	SAIBRO
2205	11	CAULIM
2206	11	TERRA
2207	11	ATERRO
2208	11	CASCALHO
2209	11	AREIA, TERRA, BARRO, SAIBRO, ETC.
2301	11	PEDRAS | BRITADA, MARROADA, PARALELEPIPEDO, ETC.
2302	11	PEDRA BRITADA
2303	11	BRITA
2304	11	PO DE PEDRA
2305	11	PEDRA MARROADA
2306	11	PEDRA DE ALICERCE
2307	11	PEDRAS | BRITADA, MARROADA, PARALELEPIPEDO, ETC.
2308	11	ASFALTO
2401	11	PORTAO
2501	11	INPS DE OBRA
2601	11	BASCULANTE
2701	11	COLA | EXCETO DUREPOX
2702	11	COLA DE MADEIRA
2703	11	COLA SUPER BOND
2704	11	SUPER BOND
2705	11	COLA DE SAPATEIRO
2801	11	ARGAMASSA
2901	11	TELHAS | BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.
2902	11	TELHAS | BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.
3001	11	SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL
3002	11	PARAPEITO DE JANELA DE QUALQUER MATERIAL
3101	11	PEDRA MARMORE PARA PIA
3102	11	MARMORE | PEDRAPARA PIA
3103	11	BALCAO DE MARMORE PARA PIA
3104	11	BALCAO DE PIA
3105	11	BALCAO DE COZINHA
3106	11	GRANITO | PEDRAPARA PIA
3107	11	BALCAO DE GRANITO PARA PIA
3201	11	CAIXA DE AGUA DE QUALQUER MATERIAL
3202	11	TAMPA DE CAIXA DE AGUA
3203	11	CAIXA DE AGUA
3301	11	GRADE DE FERRO
3401	11	BLOCO DE CIMENTO
3402	11	BLOCKET | BLOCO DE CIMENTO
3501	11	BOX DE BANHEIRO DE QUALQUER MATERIAL
3601	11	TANQUE DE QUALQUER MATERIAL
3701	11	PORTAL
3801	11	CAIXA DE LUZ | PADRAO
3901	11	CAIXA DE DESCARGA
4001	11	GESSO
4101	11	ESPELHO DE BANHEIRO
4201	11	MANILHA
